,Field,Telescope,SDSS ID,nvisits,SNR,J_M,J_M_e,H_M,H_M_e,K_M,K_M_e,RA,Dec,Star Flags (bitwise),Star Flags (spelled),ASPCAP Flags (bitwise),ASPCAP Flags (spelled),teff,teff_e,logg,logg_e,vscatter,vsini,SLs,Fe_H,Fe_H_e,radius,P_joker,e_joker,K_joker,P_rsync,RHS_joker,RHS_rsync,CO_mass_joker,CO_mass_rsync
1927,193+27_MGA,apo25m,2M08062039+2753400,4.0,452.09332,8.616,0.018,8.498,0.02,8.457,0.017,121.584971,27.894447,8388608.0,SUSPECT_ROTATION,2097156.0,"VMICRO_WARN,C_M_BAD",6387.59,54.630363,3.8236651,0.03068573,1.2908885,30.507038,1.0,-0.18824,-0.18824,2.281,10747896.459960938,0.08933544158935547,35.0338029701407,326833.9133260082,0.4815259495681833,8.429271262537479e-07,2.4082260510230986,1.0095062323531208
1928,193+29_MGA,apo25m,2M08062039+2753400,4.0,550.01825,8.616,0.018,8.498,0.02,8.457,0.017,121.584971,27.894447,8388608.0,SUSPECT_ROTATION,2097216.0,"N_M_WARN,C_M_BAD",6644.6343,68.73788,3.9725056,0.033186052,33.80146,17.402033,1.0,-0.36091,-0.36091,2.281,10747896.459960938,0.08933544158935547,35.0338029701407,572963.7803540103,0.4815259495681833,0.026529573469405956,2.4082260510230986,1.3674390413846682
1936,SGR1,apo25m,2M08085424+3214324,3.0,152.97299,12.033,0.021,11.578,0.016,11.461,0.017,122.226011,32.242355,0.0,,100.0,"VMICRO_WARN,C_M_WARN,N_M_WARN",4833.23,12.6798,4.3117123,0.03616538,1.2135793,14.325178,1.0,-0.7791,-0.7791,1.121,172180.16510009766,0.007047614548355341,129.48116910519536,342064.0687611437,0.4433965522885252,7.330079046385253e-07,2.3465292316803428,1.0090710270190064
1938,135+30,apo25m,2M08092218+7739466,3.0,180.22858,11.18,0.017,10.703,0.018,10.585,0.021,122.342445,77.662971,2052.0,"BRIGHT_NEIGHBOR,PERSIST_LOW",0.0,,4605.5166,7.9868426,3.6274388,0.024099505,11.105321,10.656143,1.0,-0.14265,-0.14265,3.342,187172.91870117188,0.05417574197053909,177.02483265930502,1370907.8946144555,1.145138413611592,0.002251118448001345,3.335639510804067,1.143299260999724
1953,170+34_btx,apo25m,2M08123639+4931541,3.0,103.94443,12.722,0.025,12.154,0.023,12.082,0.023,123.151665,49.531719,8388612.0,"BRIGHT_NEIGHBOR,SUSPECT_ROTATION",16452.0,"VMICRO_WARN,N_M_WARN,VSINI_WARN",4629.2725,16.784815,3.9312878,0.044269416,106.9198,81.865326,1.0,-0.92667,-0.92667,1.232,161276.55029296875,0.00020566437160596251,256.81619229975473,65782.8346817841,3.2741695217767868,0.09640148358945082,5.785507386262387,1.636847877690066
1959,170+34_btx,apo25m,2M08132471+4833394,6.0,47.709934,13.826,0.026,13.103,0.029,12.907,0.031,123.352992,48.560951,8391684.0,"BRIGHT_NEIGHBOR,PERSIST_MED,PERSIST_LOW,SUSPECT_ROTATION",4.0,VMICRO_WARN,3758.58,14.70086,4.4672766,0.0508706,83.303604,38.326576,1.0,-0.81879,-0.81879,0.881,226148.7922668457,0.0001396613079123199,123.26259417574771,100479.5677035815,0.5076845144232583,0.06964113668875414,2.4496781588642023,1.5513560064760703
2061,177+34_MGA,apo25m,2M08311262+4325444,4.0,77.44506,11.344,0.019,10.838,0.029,10.75,0.02,127.802586,43.429001,50331648.0,"MTPFLUX_LT_75,MTPFLUX_LT_50",644.0,"VMICRO_WARN,STAR_WARN,COLORTE_WARN",4534.936,18.919258,3.7681057,0.03805754,2.8110533,13.857983,1.0,-0.4676,-0.4676,3.426,766994.9523925781,0.7258008122444153,150.11682309802939,1080660.3222395189,0.44665949143979505,2.8780157579200203e-05,2.3518725104359115,1.031281536283903
2062,178+36_btx,apo25m,2M08311262+4325444,3.0,218.42912,11.344,0.019,10.838,0.029,10.75,0.02,127.802586,43.429001,0.0,,68.0,"VMICRO_WARN,N_M_WARN",4559.659,13.799,3.91968,0.025511812,10.188234,12.419382,1.0,-0.47406,-0.47406,3.426,766994.9523925781,0.7258008122444153,150.11682309802939,1205838.774777181,0.44665949143979505,0.0015289127374591737,2.3518725104359115,1.124583357763147
2075,NGC2632_btx,apo25m,2M08362084+1941068,3.0,62.574867,13.77,0.023,13.522,0.03,13.408,0.033,129.086857,19.68523,0.0,,640.0,"STAR_WARN,COLORTE_WARN",6229.335,81.00494,4.225455,0.07174957,4.1059046,10.473697,1.0,-0.14059,-0.14059,1.195,130061.15798950195,0.07466047257184982,144.6415129157883,498734.91296862817,0.42002474372390614,4.138977398978645e-05,2.3078813817510886,1.0354032264754531
2097,200+32_MGA,apo25m,2M08381688+2430433,2.0,125.83064,11.15,0.021,10.857,0.018,10.803,0.018,129.57037,24.512054,0.0,,4.0,VMICRO_WARN,6056.3174,44.188953,4.026405,0.0370027,9.5330515,10.476109,1.0,-0.11166,-0.11166,1.917,153266.1060333252,0.4360220730304718,178.60893157627712,799878.4127674383,0.443450881065782,0.0008308383111500621,2.346618300580698,1.1001894642751746
2158,194+39_MGA,apo25m,2M08491490+3111434,3.0,28.50991,11.372,0.023,11.139,0.032,10.997,0.022,132.312098,31.195396,50331648.0,"MTPFLUX_LT_75,MTPFLUX_LT_50",134217728.0,SN_BAD,5649.226,142.87756,4.0917807,0.15656948,39.785095,19.538895,1.0,-0.38563,-0.38563,1.549,139616.66793823242,0.009154402650892735,167.22340317764164,346539.9356616275,0.7720299314997873,0.02616442585926661,2.8395508386082833,1.3653778419886111
2225,142+35_btx,apo25m,2M08590163+6954393,3.0,115.752266,11.908,0.019,11.408,0.017,11.27,0.022,134.756818,69.910934,0.0,,4.0,VMICRO_WARN,4494.9956,14.311016,3.8526812,0.026888337,6.373078,13.498952,1.0,-0.22858,-0.22858,2.585,139902.00004577637,0.10261788964271545,183.58059602554988,837071.1346376745,0.882200057103841,0.00025978064341578504,2.990966548180254,1.0666108189763652
2271,178+42_MGA,apo25m,2M09124038+4200544,3.0,370.03415,9.519,0.022,9.337,0.016,9.258,0.014,138.168266,42.015118,0.0,,0.0,,6333.471,49.27667,3.8409092,0.027834406,4.090879,14.236392,1.0,-0.27191,-0.27191,2.095,173946.16928100586,0.06263399869203568,174.2973065147592,643259.1332227391,1.002183880526085,5.279983727867659e-05,3.1507711285025066,1.0384721281087361
2272,GD1-3,apo25m,2M09124274+2324426,5.0,55.684013,13.028,0.021,12.602,0.022,12.533,0.024,138.178121,23.411856,0.0,,68.0,"VMICRO_WARN,N_M_WARN",5018.3926,29.376482,4.4194093,0.04444673,15.9255905,12.829211,1.0,-0.46685,-0.46685,1.218,364637.109375,0.2606552541255951,115.72680457530267,415001.0657844424,0.43075463263557084,0.0020097061693417867,2.325707790308992,1.1375161941250624
2274,193+43_MGA,apo25m,2M09131697+3205319,3.0,157.48566,11.574,0.019,11.081,0.022,10.955,0.017,138.320718,32.092216,4.0,BRIGHT_NEIGHBOR,68.0,"VMICRO_WARN,N_M_WARN",4624.0024,14.531374,4.3737,0.025229137,41.57392,17.988708,1.0,-0.2829,-0.2829,0.936,167786.58828735352,0.001018344541080296,148.51455636530142,227445.70922156994,0.6579566800400694,0.0195946448702168,2.6767726370339475,1.3252772809630156
2281,193+43_MGA,apo25m,2M09155787+3134156,3.0,122.10188,11.539,0.019,11.177,0.022,11.115,0.019,138.991165,31.571024,0.0,,134.0,"LOGG_WARN,VMICRO_WARN,STAR_WARN",5900.0815,38.50655,4.3741837,0.028384771,18.337357,14.076672,1.0,-0.074438,-0.074438,1.37,171079.40711975098,0.010803980752825737,168.06070161812588,425424.4515280763,0.9578919288681481,0.003145063283065245,3.0923276063780114,1.1619328250810248
2283,193+43_MGA,apo25m,2M09160924+3253128,3.0,244.09424,10.462,0.022,10.098,0.019,10.049,0.018,139.038521,32.886898,8388608.0,SUSPECT_ROTATION,0.0,,5319.7686,19.086819,3.9932976,0.01919047,53.571888,40.52285,1.0,-0.050613,-0.050613,1.862,147911.5997314453,0.006558301392942667,151.4159151693761,200854.50006348046,0.6095749472154942,0.03702449499080007,2.605459756696681,1.4213383875662573
2288,193+43_MGA,apo25m,2M09172899+3147303,3.0,102.059555,11.132,0.02,10.83,0.016,10.77,0.02,139.370833,31.791754,2048.0,PERSIST_LOW,68.0,"VMICRO_WARN,N_M_WARN",5409.3394,37.468285,4.0662985,0.04426188,25.069008,28.807127,1.0,-0.59581,-0.59581,1.381,146852.43186950684,0.06958124041557312,144.52815739821636,209553.83010394897,0.4770379701039363,0.003958255011936612,2.4010454230449163,1.1762693297937583
2426,223+55,apo25m,2M10235474+1648178,3.0,86.04944,13.004,0.021,12.616,0.025,12.475,0.021,155.978104,16.804956,0.0,,644.0,"VMICRO_WARN,STAR_WARN,COLORTE_WARN",5165.2515,21.154722,4.487388,0.024075178,39.30179,10.4447975,1.0,0.12839,0.12839,0.954,133913.68217468262,0.022083576768636703,148.51959481713735,399254.86974423536,0.5086576134015379,0.029059218788743263,2.451207438637912,1.3813247605278167
2434,244+45_MGA,apo25m,2M10271730+0106138,3.0,112.5663,11.456,0.027,11.19,0.026,11.118,0.023,156.822097,1.10384,4.0,BRIGHT_NEIGHBOR,64.0,N_M_WARN,6077.419,49.7697,4.1808987,0.04252999,39.205833,13.418377,1.0,-0.22451,-0.22451,1.535,131054.84046936035,0.09161175787448883,177.99205062749522,500046.3504598527,0.7671121520821967,0.03612925776090942,2.832669944875059,1.4170794852054003
2439,168+55_MGA,apo25m,2M10291410+4618558,3.0,159.94435,11.391,0.021,11.1,0.016,11.055,0.013,157.308768,46.315514,0.0,,4.0,VMICRO_WARN,5902.3823,31.44662,4.1952486,0.021570336,18.70796,17.254404,1.0,0.10652,0.10652,1.261,141467.19131469727,0.08961129188537598,185.9583754424818,319460.3739982152,0.9474143874476452,0.0025078006711306135,3.078412304461292,1.1490485545945401
2455,175+58_MGA,apo25m,2M10352052+4126261,3.0,172.14265,11.19,0.019,10.848,0.016,10.776,0.016,158.835524,41.44059,4.0,BRIGHT_NEIGHBOR,4.0,VMICRO_WARN,5676.0435,35.581215,4.164693,0.032889593,21.354092,12.050359,1.0,-0.47037,-0.47037,1.616,149871.82502746582,0.17754927277565002,207.34131835664175,586196.529200418,1.1946456791788604,0.00684357910487479,3.3984849283466136,1.2163390458878112
2460,210+60,apo25m,2M10370001+2527527,3.0,99.39369,12.058,0.021,11.519,0.019,11.411,0.018,159.25008,25.464651,0.0,,68.0,"VMICRO_WARN,N_M_WARN",4540.0933,20.749561,4.005495,0.04402005,15.61832,12.333887,1.0,-0.73321,-0.73321,2.325,219168.63555908203,0.018085099756717682,181.14408190573633,823995.5451453584,1.5197017016142667,0.0037637826372278627,3.7993759657104498,1.173014028835671
2505,288-01-C,lco25m,2M10472371-6024261,2.0,74.110565,12.905,0.022,12.583,0.026,12.509,0.03,161.848819,-60.407269,8388608.0,SUSPECT_ROTATION,0.0,,6132.312,51.710735,3.7547894,0.046129167,1.1277508,33.527412,1.0,0.13935,0.13935,2.914,267546.2242126465,0.36589571833610535,191.16599936545697,379919.3275355968,1.131536402015444,6.533223866783236e-07,3.318273942247237,1.0087276546268618
2515,288-00-C,lco25m,2M10501101-5857588,3.0,55.210804,13.715,0.036,13.16,0.023,12.965,0.024,162.545898,-58.966351,8388608.0,SUSPECT_ROTATION,0.0,,5451.269,58.912647,3.7846994,0.06407262,12.242554,30.053844,1.0,0.077333,0.077333,3.48,151298.41346740723,0.07612881809473038,194.89859257657125,506152.1522289407,1.1925437868732718,0.001113509414589353,3.3958278834646616,1.1111980256362035
2594,300-23,lco25m,2M11192490-8514311,3.0,29.039343,12.744,0.026,12.15,0.025,12.05,0.028,169.853775,-85.241997,16777216.0,MTPFLUX_LT_75,134217796.0,"VMICRO_WARN,N_M_WARN,SN_BAD",4343.741,18.155165,4.34449,0.03942588,5.1084023,12.752637,1.0,-0.17856,-0.17856,10.359,149284.73281860352,0.01039030123502016,141.49546713215105,3550746.8217423516,0.4991552140627504,0.0005675076272644653,2.43623554099831,1.0875582887429278
2599,250+60,apo25m,2M11194113+0808315,3.0,69.44728,12.897,0.026,12.391,0.025,12.334,0.029,169.921385,8.142108,0.0,,68.0,"VMICRO_WARN,N_M_WARN",4829.1855,28.156704,3.6143603,0.045384698,19.121967,32.018425,1.0,-0.72699,-0.72699,2.749,149441.11289978027,0.013728172518312931,240.22934055977143,375298.3426900324,2.4329876407996194,0.0031460894053421304,4.857801486663313,1.1619522379267335
2613,152+63_MGA,apo25m,2M11291785+4853250,3.0,166.06213,10.015,0.03,9.704,0.034,9.601,0.018,172.324408,48.890278,8390656.0,"PERSIST_LOW,SUSPECT_ROTATION",708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",5021.997,16.563791,4.406617,0.020552773,82.988846,44.62724,1.0,-0.030898,-0.030898,1.155,178084.00497436523,0.17128826677799225,130.673955279213,113131.57347455474,0.35941316114662386,0.07752463401882127,2.2042053624586133,1.5779280965461622
2614,154+62_MGA,apo25m,2M11291785+4853250,2.0,226.44943,10.015,0.03,9.704,0.034,9.601,0.018,172.324408,48.890278,8388608.0,SUSPECT_ROTATION,704.0,"N_M_WARN,STAR_WARN,COLORTE_WARN",5020.347,15.263416,4.342887,0.018696213,32.095776,44.218086,1.0,-0.047177,-0.047177,1.155,178084.00497436523,0.17128826677799225,130.673955279213,114178.39028642236,0.35941316114662386,0.004526101380650152,2.2042053624586133,1.1852630653519034
2690,N4147,apo25m,2M12050458+1759507,3.0,123.65597,11.912,0.02,11.543,0.023,11.442,0.019,181.269086,17.997429,512.0,PERSIST_HIGH,4.0,VMICRO_WARN,5632.201,39.495033,4.2467427,0.043444216,38.207794,16.489218,1.0,-0.43311,-0.43311,1.992,231400.08544921875,0.00016497350588906556,211.01974919078498,528069.5749346049,2.6062859544419132,0.035313743430326554,5.051602744154337,1.413152397310253
2703,279+66,apo25m,2M12102713+0617206,4.0,147.78052,11.732,0.027,11.227,0.024,11.108,0.024,182.613057,6.289075,8388608.0,SUSPECT_ROTATION,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4638.596,17.75628,4.245633,0.033202507,67.49073,38.44147,1.0,-0.5741,-0.5741,1.073,159480.65643310547,0.05737927556037903,144.98098498529302,122011.73616757609,0.5332653297131581,0.044970809415816576,2.489592797705743,1.4570486769323048
2743,221+84,apo25m,2M12281397+2715328,3.0,353.113,10.061,0.024,9.759,0.028,9.625,0.019,187.058235,27.259113,4.0,BRIGHT_NEIGHBOR,4.0,VMICRO_WARN,5519.695,21.21717,4.293573,0.018312119,48.81457,12.246163,1.0,0.077145,0.077145,1.277,166684.33685302734,0.007056289818137884,138.40106136551816,455819.32457109855,0.5241996391648431,0.06356789902796005,2.475514430512179,1.529894679407033
2763,M68,lco25m,2M12395622-2630087,3.0,113.151924,12.482,0.024,12.082,0.025,12.011,0.023,189.984274,-26.502426,0.0,,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4977.36,16.157982,3.857086,0.037633795,51.890068,15.617088,1.0,-0.60431,-0.60431,1.969,179538.3201599121,0.00110051897354424,127.28326710554728,551121.7240912856,0.44314974315053474,0.0923202496784368,2.3461245586678245,1.6245940652530333
2871,111+70_MGA,apo25m,2M13145501+4711051,2.0,419.69452,9.829,0.022,9.593,0.027,9.549,0.019,198.729233,47.184769,0.0,,640.0,"STAR_WARN,COLORTE_WARN",6487.3467,43.39789,4.362558,0.019723216,41.063763,10.990059,1.0,0.1605,0.1605,1.529,133112.56256103516,0.012241227552294731,184.9662426189568,608148.0705276649,0.9914470642627486,0.0504873165217381,3.1366589440572117,1.4799954347225492
2872,325+76,apo25m,2M13154641+1457559,3.0,782.12665,7.813,0.024,7.653,0.044,7.627,0.021,198.943407,14.965544,0.0,,0.0,,6521.3794,57.894608,4.259996,0.029181851,6.5752497,17.729645,1.0,-0.28894,-0.28894,1.412,129947.25379943848,0.06677941977977753,134.97824092792558,348126.0549607863,0.3454073541173184,0.0001186506166098633,2.1794365079565434,1.0507893243155322
2900,320+60,apo25m,2M13242101-0018570,4.0,872.89325,7.234,0.023,7.041,0.038,6.955,0.023,201.087563,-0.315838,2048.0,PERSIST_LOW,0.0,,6331.05,44.250626,4.099028,0.023797603,21.256409,13.03467,1.0,-0.089904,-0.089904,1.925,135696.25854492188,0.20519304275512695,221.93804823908678,645553.982958089,1.2602374209573497,0.00743359642194773,3.4809318168605663,1.2232240622391162
2912,041+81_MGA,apo25m,2M13274631+2826206,3.0,102.49405,10.788,0.021,10.502,0.024,10.429,0.017,201.942961,28.43907,0.0,,68.0,"VMICRO_WARN,N_M_WARN",5695.7046,39.19763,4.4806757,0.03903332,6.635798,23.867119,1.0,-0.2906,-0.2906,1.348,167114.07051086426,0.010300402529537678,199.3565039880079,246883.32934277164,1.562989483351133,8.64904103507704e-05,3.8514848260802497,1.0455575108364852
2966,083+73_MGA,apo25m,2M13430611+3946039,3.0,256.31622,10.755,0.021,10.394,0.02,10.312,0.017,205.775494,39.767773,4.0,BRIGHT_NEIGHBOR,68.0,"VMICRO_WARN,N_M_WARN",5607.542,26.205261,4.2790475,0.022886831,44.742268,12.589254,1.0,-0.17019,-0.17019,1.31,186727.2720336914,0.03267427533864975,140.31054318165403,454855.2077707176,0.5883482917089853,0.04884542317658846,2.573673500403064,1.4733023561227514
2992,016+77_MGA,apo25m,2M13484687+2340279,3.0,228.9729,9.982,0.022,9.778,0.023,9.729,0.018,207.195328,23.674421,8388608.0,SUSPECT_ROTATION,0.0,,6169.477,48.762215,4.014639,0.032381218,1.5555998,23.227371,1.0,-0.46425,-0.46425,2.304,258142.7993774414,0.11767186224460602,149.6853009094479,433595.0241611048,0.8602791433567669,1.956927093859636e-06,2.961229554292599,1.0126132303350106
3004,335+61_btx,apo25m,2M13525243+0354262,6.0,393.62173,10.408,0.027,10.102,0.022,10.011,0.024,208.218486,3.90728,0.0,,4.0,VMICRO_WARN,5749.8916,28.83304,4.349658,0.02280818,16.865065,15.014123,1.0,-0.14338,-0.14338,1.576,3589354.3579101562,0.5191181302070618,77.51631282030804,458836.6660304318,0.6684208402025296,0.0026388754574525235,2.6920027958245445,1.151847422325474
